id,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@4,4101013@機率論@2@2,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@4,4102085@離散數學@2@1,4101031@程式設計（一）@1@1,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@3,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102050@組合語言@1@1,4102062@資料結構@1@1,4102090@工程數學@1@1,4103022@軟體工程@1@1,4101013@機率論@2@1,4101034@程式設計實習（二）@2@2,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4103039@電腦網路概論@2@1,4101012@資訊概論@1@1,4101033@程式設計實習（一）@1@2,4103001@作業系統概論@1@2,4103020@程式語言導論@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4103800@資訊工程研討@1@1,4101032@程式設計（二）@2@1,4101034@程式設計實習（二）@2@3,4102013@機率論@2@1,4102160@物件導向程式設計@2@2,4102170@統計學@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@2,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@3,4103001@作業系統概論@1@1,4104801@專題實驗（二）@1@3,4104801@專題實驗（二）@1@4,4103900@工程倫理@2@1,4104005@編譯器設計@2@1
402530008,87,87,NaN,96,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530011,99,99,NaN,99,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530014,NaN,39,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530036,NaN,99,57,88,88,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530019,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530022,NaN,NaN,NaN,NaN,NaN,74,71,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530034,NaN,91,NaN,77,NaN,95,91,NaN,NaN,92,NaN,NaN,100,96,77,92,95,90,92,77,68,NaN,70,89,NaN,NaN,94,90,68,NaN,NaN,83,NaN,89,81,NaN,80,86,NaN,NaN,NaN,NaN,87,91,84,NaN,90,NaN,87,NaN,-1,NaN
402530037,NaN,NaN,NaN,71,71,61,62,62,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402530040,75,75,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402530041,NaN,NaN,NaN,72,72,76,66,66,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
