id,6201021@民法總則（一）@1@1,6201031@刑法總則（一）@1@1,6201041@憲法（一）@1@1,6201888@學系服務學習@1@1,6201022@民法總則（二）@2@1,6201032@刑法總則（二）@2@1,6201042@憲法（二）@2@1,6201888@學系服務學習@2@1,6202026@民法繼承@2@1,6203024@海商法@2@1,6203043@警察法@2@1,6203045@教育法@2@1,6202017@民法債編總論（一）@1@1,6202023@民法物權（一）@1@1,6202025@民法親屬@1@1,6202031@刑法分則（一）@1@1,6202043@行政法總論（一）@1@1,6203020@公司法@1@1,6203063@勞動法總論@1@1,6202019@民法債編總論（二）@2@1,6202024@民法物權（二）@2@1,6202032@刑法分則（二）@2@1,6202041@國際公法@2@1,6202044@行政法總論（二）@2@1,6203023@保險法@2@1,6203044@經濟行政法@2@1,6203064@勞動法各論@2@1,6203075@證券交易法@2@1
404620001,88,81,67,90,86,77,80,NaN,-1,NaN,NaN,NaN,78,NaN,64,62,81,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404620002,94,82,78,NaN,95,89,97,80,-1,NaN,NaN,NaN,90,100,80,75,94,75,85,-1,-1,-1,-1,-1,NaN,NaN,NaN,-1
404620003,90,80,80,90,81,70,60,NaN,-1,68,NaN,78,85,89,83,72,NaN,86,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,-1
404620004,84,73,85,NaN,85,77,86,80,-1,-1,76,NaN,82,82,80,66,82,NaN,84,-1,-1,-1,-1,-1,NaN,NaN,-1,-1
404620005,79,79,74,90,80,70,75,NaN,-1,NaN,NaN,NaN,84,89,70,68,90,82,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
404620006,82,86,85,NaN,89,83,89,80,-1,-1,NaN,NaN,82,93,80,73,NaN,71,78,-1,-1,-1,-1,NaN,NaN,NaN,-1,-1
404620007,76,60,56,90,77,70,44,NaN,-1,NaN,NaN,NaN,70,77,66,70,86,59,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,-1
404620008,92,86,76,NaN,91,87,84,80,-1,NaN,NaN,NaN,86,92,86,80,93,NaN,82,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404620009,86,76,74,90,91,70,74,NaN,-1,-1,NaN,NaN,78,98,80,72,94,NaN,80,-1,-1,-1,-1,-1,NaN,NaN,-1,-1
404620010,83,78,79,NaN,86,80,64,80,-1,65,NaN,NaN,77,94,65,64,89,75,77,-1,-1,-1,-1,-1,-1,NaN,-1,-1
404620011,81,83,75,90,86,72,53,NaN,-1,-1,NaN,NaN,81,96,76,74,90,82,83,-1,-1,-1,-1,NaN,-1,NaN,NaN,-1
404620013,80,70,66,90,80,69,68,NaN,77,-1,72,NaN,84,83,61,72,88,NaN,81,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404620014,71,82,53,NaN,68,70,60,80,-1,-1,NaN,NaN,72,79,72,60,83,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404620015,74,55,37,90,67,51,60,NaN,-1,-1,66,NaN,70,34,69,48,71,NaN,60,-1,-1,-1,-1,-1,NaN,NaN,NaN,-1
404620016,73,72,62,NaN,73,65,36,80,-1,NaN,NaN,NaN,74,90,73,60,82,67,66,-1,-1,-1,-1,-1,NaN,NaN,NaN,-1
404620017,72,65,38,90,68,65,46,NaN,-1,NaN,70,NaN,77,62,74,56,74,NaN,74,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
404620018,68,56,45,NaN,-1,65,-1,80,NaN,NaN,NaN,NaN,64,65,66,65,60,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404620019,69,79,60,90,80,70,60,NaN,-1,NaN,NaN,NaN,80,86,74,66,90,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404620020,92,89,85,NaN,95,89,98,80,-1,NaN,NaN,NaN,76,100,85,75,94,82,84,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
404620021,91,80,85,90,89,82,95,NaN,-1,-1,NaN,NaN,90,98,85,72,96,87,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404620022,83,75,76,NaN,80,77,60,80,-1,NaN,NaN,NaN,74,73,70,63,80,73,74,-1,-1,-1,-1,-1,-1,-1,NaN,-1
404620024,72,78,61,NaN,80,79,81,80,-1,NaN,75,79,90,75,77,72,81,74,83,-1,-1,-1,-1,-1,NaN,NaN,NaN,-1
404620025,76,71,53,90,70,70,43,NaN,-1,-1,70,NaN,87,90,62,63,88,78,79,-1,-1,-1,-1,NaN,-1,NaN,-1,-1
404620026,79,78,74,NaN,83,75,69,80,-1,-1,NaN,NaN,85,82,68,70,NaN,79,72,-1,-1,-1,-1,NaN,NaN,NaN,NaN,-1
404620027,78,65,45,90,80,70,46,NaN,-1,NaN,64,NaN,74,79,75,65,70,66,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
404620028,78,81,75,NaN,78,75,85,80,80,-1,75,NaN,90,89,67,76,90,84,82,-1,-1,-1,-1,NaN,-1,NaN,-1,-1
404620029,78,70,50,90,68,70,44,NaN,-1,66,71,NaN,76,88,85,72,79,79,76,-1,-1,-1,-1,-1,NaN,NaN,NaN,-1
404620030,81,78,64,NaN,80,70,67,80,81,-1,71,NaN,82,88,85,68,88,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404620031,92,83,88,90,89,87,75,NaN,-1,-1,NaN,86,84,93,78,74,NaN,83,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,-1
404620032,85,79,76,NaN,77,80,60,80,-1,-1,NaN,NaN,78,92,66,61,NaN,78,79,-1,-1,-1,-1,NaN,NaN,NaN,-1,-1
404620033,81,73,67,90,80,70,64,NaN,-1,NaN,NaN,NaN,86,96,76,70,88,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
404620034,71,60,60,NaN,19,37,0,50,NaN,NaN,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404620035,80,81,86,90,82,81,70,NaN,-1,NaN,NaN,86,79,89,68,60,92,80,82,-1,-1,-1,-1,-1,NaN,NaN,-1,-1
404620036,82,84,85,NaN,81,81,83,80,-1,-1,78,NaN,84,95,72,72,89,84,84,-1,-1,-1,-1,NaN,NaN,NaN,NaN,-1
404620037,81,75,60,90,71,75,48,NaN,-1,68,NaN,NaN,74,68,75,58,74,59,70,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404620038,85,70,46,NaN,74,70,-1,80,NaN,-1,68,NaN,78,85,74,64,96,79,74,-1,-1,-1,-1,NaN,-1,NaN,-1,-1
404620039,80,79,75,90,80,80,52,NaN,-1,NaN,NaN,NaN,74,84,67,60,NaN,77,73,-1,-1,-1,-1,NaN,NaN,NaN,NaN,-1
404620040,72,51,39,NaN,21,NaN,0,80,-1,-1,NaN,NaN,64,0,75,48,39,58,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
