id,4251010@化學工程概論@1@1,4252100@工程數學（一）@1@1,4252300@數值計算方法@1@1,4252800@材料科學@1@1,4253800@組織工程概論@1@1,4251020@化工質能均衡@2@1,4252200@工程數學（二）@2@1,4252400@單元操作與輸送現象（一）@2@1,4253720@生醫材料@2@1,4253910@高分子概論@2@1,4252410@工程力學@1@1,4252912@化學工業安全概論@1@1,4253400@單元操作與輸送現象（二）@1@1,4253410@化工熱力學@1@1,4253500@儀器分析@1@1,4253910@高分子概論@1@1,4252920@應用統計學@2@1,4253100@程序控制@2@1,4253402@化學工程實驗（一）@2@1,4253403@單元操作與輸送現象（三）@2@1,4253501@儀器分析實驗@2@2,4253700@生物技術概論@2@1,4253911@高分子加工概論@2@1,4254410@化工反應工程@2@1,4254500@組織工程實驗@2@1,4254100@程序設計@1@1,4254402@化學工程實驗（二）@1@1,4251910@計算機概論@2@1,4253001@化工專題研究（一）@2@1,4253402@化學工程實驗（一）@2@2,4253501@儀器分析實驗@2@1,4253730@分離程序@2@1,4253940@觸媒化學概論@2@1,4254970@專題討論與文獻選讀@2@1
402250037,98,75,84,83,81,75,90,73,NaN,NaN,NaN,93,86,79,85,77,92,79,88,83,91,80,79,70,NaN,80,91,NaN,NaN,NaN,NaN,NaN,-1,-1
402250014,NaN,NaN,NaN,49,78,NaN,NaN,NaN,76,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250027,NaN,NaN,NaN,34,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250029,NaN,NaN,NaN,63,73,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250034,87,79,93,71,90,89,78,84,82,-1,83,NaN,86,72,96,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,87,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN
402250036,NaN,NaN,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250045,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250046,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402250044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
