id,6101021@民法總則（一）@1@1,6101031@刑法總則（一）@1@1,6101041@憲法（一）@1@1,6101054@英美法導論@1@1,6101888@學系服務學習@1@1,6102001@法學方法論@1@1,6102060@日文（一）@1@1,6103067@日文法學名著選讀（三）@1@1,6103071@法制史（一）@1@1,6101001@法學緒論@2@1,6101022@民法總則（二）@2@1,6101032@刑法總則（二）@2@1,6101042@憲法（二）@2@1,6101888@學系服務學習@2@1,6102082@日文（二）@2@1,6103023@保險法@2@1,6104075@法律倫理學@2@1,6102019@民法債編總論（一）@1@1,6102023@民法物權（一）@1@1,6102025@民法親屬@1@1,6102031@刑法分則（一）@1@1,6102040@國際公法@1@1,6102043@行政法總論（一）@1@1,6102050@刑法總則理論演習@1@1,6102062@德文（一）@1@1,6102064@法學英文（一）@1@1,6102089@羅馬法史導論@1@1,6103057@日文法學名著選讀（一）@1@1,6103096@國際公法案例研究@1@1,6104006@強制執行法@1@1,6102020@民法債編總論（二）@2@1,6102024@民法物權（二）@2@1,6102026@民法繼承@2@1,6102032@刑法分則（二）@2@1,6102044@行政法總論（二）@2@1,6102063@德文（二）@2@1,6102065@法學英文 (二)@2@1,6103024@海商法@2@1,6103058@日文法學名著選讀（二）@2@1,6103090@國際環境法@2@1
404610001,91,81,75,93,90,88,NaN,NaN,NaN,86,92,71,70,NaN,NaN,NaN,NaN,95,70,88,89,81,90,84,99,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN,NaN
404610002,95,83,62,93,NaN,92,NaN,NaN,NaN,78,94,72,75,90,NaN,74,NaN,100,74,89,83,86,89,85,97,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404610003,95,80,63,85,90,82,NaN,NaN,NaN,74,95,79,60,NaN,NaN,NaN,74,90,80,53,84,82,85,NaN,95,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404610004,90,80,NaN,85,NaN,76,NaN,NaN,NaN,78,92,74,-1,90,NaN,NaN,84,76,61,91,82,80,83,81,NaN,NaN,81,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404610005,89,73,51,83,90,70,NaN,NaN,NaN,72,88,78,55,NaN,NaN,NaN,-1,90,61,43,81,73,83,78,92,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404610006,94,78,NaN,84,NaN,76,NaN,NaN,NaN,60,89,68,-1,90,NaN,NaN,NaN,91,75,70,84,71,81,80,98,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404610007,91,85,64,82,90,87,NaN,NaN,NaN,86,93,65,75,NaN,NaN,65,83,94,72,55,86,77,89,80,81,NaN,81,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404610009,87,77,81,87,90,87,NaN,NaN,NaN,70,91,85,75,NaN,NaN,NaN,NaN,99,75,80,84,85,91,84,98,NaN,NaN,NaN,NaN,83,-1,-1,-1,-1,-1,-1,NaN,-1,NaN,NaN
404610010,97,78,65,89,NaN,73,NaN,NaN,NaN,78,91,64,70,90,NaN,80,77,89,72,78,82,88,83,NaN,97,NaN,65,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404610011,93,74,66,86,90,96,NaN,NaN,NaN,78,93,71,65,NaN,NaN,NaN,88,94,71,80,85,84,93,NaN,NaN,NaN,79,NaN,NaN,88,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN
404610013,93,67,60,67,90,70,NaN,95,NaN,66,80,69,85,NaN,NaN,NaN,-1,66,62,60,79,87,85,77,93,NaN,NaN,95,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404610015,97,73,61,84,95,72,88,NaN,77,76,86,75,-1,NaN,70,NaN,NaN,55,63,53,79,70,73,84,96,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404610017,93,70,NaN,85,90,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,85,86,NaN,77,86,87,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN
404610018,93,81,60,86,NaN,81,NaN,NaN,NaN,60,95,70,68,90,NaN,66,-1,99,78,65,84,73,84,84,99,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,NaN
404610019,91,74,70,86,95,60,NaN,NaN,NaN,-1,89,60,-1,NaN,NaN,NaN,78,74,62,53,80,69,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
404610020,86,76,60,71,NaN,76,NaN,NaN,NaN,68,90,61,65,90,NaN,NaN,87,95,66,72,81,66,82,NaN,91,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,NaN
404610021,94,78,62,83,90,84,NaN,NaN,NaN,68,95,65,54,NaN,NaN,NaN,NaN,93,72,71,83,79,83,NaN,97,NaN,40,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404610022,86,75,NaN,78,NaN,70,NaN,NaN,NaN,70,98,67,NaN,95,NaN,NaN,-1,71,70,71,82,81,79,78,NaN,NaN,NaN,94,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN
404610023,95,66,71,76,90,69,NaN,NaN,NaN,66,91,65,65,NaN,NaN,NaN,-1,68,66,72,80,70,82,NaN,84,NaN,62,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404610024,95,65,60,70,NaN,84,NaN,NaN,NaN,64,88,63,68,90,NaN,NaN,-1,95,82,74,81,81,87,77,85,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
404610025,96,65,70,80,90,92,NaN,NaN,NaN,82,99,67,75,NaN,NaN,87,-1,94,92,66,86,76,86,85,96,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
404610026,90,84,77,88,NaN,80,NaN,NaN,NaN,76,91,76,70,90,NaN,NaN,-1,89,85,86,90,76,90,90,94,NaN,84,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN
404610027,87,69,60,70,90,70,NaN,NaN,NaN,64,94,64,68,NaN,NaN,NaN,-1,80,67,66,84,67,83,NaN,94,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
